record_status,supplier,legal_licensee,ofgem_seg_status,tariff,rate_p_per_kwh,rate_type,import_supplier_required,installer_or_purchase_required,battery_required,system_size_public_summary,checked_date,source_url,ofgem_source_url,notes
published_flat_rate,So Energy,So Energy Trading Limited,mandatory,So Energy standard export rate after first year,4.5,published follow-on rate; commencement letter governs,not_stated,yes,yes,public article describes the rate after the first year of a So Energy solar route,2026-07-10,https://www.so.energy/article/how-do-solar-panels-work-with-your-electric-bill,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,"So Energy's official article says it pays 20p/kWh in the first year of solar and 4.5p/kWh after that. Its general SEG page says non-supply customers can apply, but the actual rate and conditions are set in the Smart Export Commencement Letter."
published_flat_rate,Octopus Energy,Octopus Energy Limited,mandatory,Smart Export Guarantee,4.1,flat rate,no,no,no,eligible renewable generation and export metering required,2026-07-10,https://octopus.energy/export-tariffs/,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,Octopus describes this as an export-only route that can be combined with another supplier's import tariff.
published_flat_rate,OVO,OVO Electricity Ltd,mandatory,SEG,4,published rate; current terms govern,no,no,no,"up to 5MW, or 50kW for micro-CHP",2026-07-10,https://www.ovoenergy.com/smart-export-guarantee,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,OVO says the home's electricity supply can be with any provider.
published_flat_rate,Voltx Power,Voltx Power Ltd,voluntary,Voltx Smart Export Guarantee,3.02,published rate; current contract governs,not_stated,no,no,"up to 5MW, or 50kW for micro-CHP",2026-07-10,https://www.voltxpower.co.uk/smart-export-guarantee-seg/,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,Voltx publishes 3.02p/kWh for eligible exported energy and twice-yearly payments. No import-supply requirement is stated on the public summary.
published_flat_rate,British Gas,British Gas Trading Limited,mandatory,Export SEG,3,variable,no,no,no,public page describes the route for non-British-Gas customers and other specified cases,2026-07-10,https://www.britishgas.co.uk/energy/smart-export-guarantee-tariff.html,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,"British Gas says this rate applies if it does not supply the property's electricity, and to certain other applicant categories."
published_flat_rate,E,E (Gas and Electricity) Ltd,mandatory,E SEG Tariff,3,variable,not_stated,no,no,"up to 5MW, or 50kW for micro-CHP",2026-07-10,https://e.org/support,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,E publishes one variable SEG tariff paying 3p/kWh. No import-supply requirement is stated in the public eligibility summary.
published_flat_rate,EDF,EDF Energy Customers Limited,mandatory,SEG Export Variable,3,variable,no,no,no,eligible generation up to 5MW; tariff-specific limits can apply,2026-07-10,https://www.edfenergy.com/energy-efficiency/smart-export-tariff,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,Available whether EDF or another supplier provides the home's imported electricity.
published_flat_rate,Ruby Energy,Ruby Electricity Ltd,voluntary,Ruby Smart Export Guarantee,3,official page uses both variable and fixed wording; contract governs,no,no,no,"up to 5MW, or 50kW for micro-CHP",2026-07-10,https://rubyenergy.uk/smart-export-guarantee-renewable-energy/,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,"Ruby publishes 3p/kWh and says no import-tariff switch is required. Its page describes the offer as both variable-rate and fixed-rate, so the signed terms should resolve that inconsistency."
published_flat_rate,Utilita Energy,Utilita Energy Limited,mandatory,Utilita Smart Export Guarantee,3,published rate; current terms govern,no,no,no,"up to 5MW, or 50kW for micro-CHP",2026-07-10,https://utilita.co.uk/help/smart-export-guarantee,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,Utilita publishes 3p/kWh and states that applicants do not need to be Utilita import customers.
published_flat_rate,Utility Warehouse,Electricity Plus Supply Limited,mandatory,UW Smart Export Guarantee - Standard,2,standard variable,no,no,no,eligible SEG generation; public tariff terms apply,2026-07-10,https://help.uw.co.uk/article/energy/Feed-In%20Tariff/whats-the-smart-export-guarantee-seg,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,Utility Warehouse describes the standard 2p/kWh tariff as available to everyone who meets the SEG requirements.
official_site_checked_public_rate_not_located,Fuse Energy,Fuse Energy Supply Limited,mandatory,Public rate not located on official site,,not publicly verified,not_stated,not_stated,not_stated,not stated with a public rate,2026-07-10,https://www.fuseenergy.com/blog/seg,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,"Ofgem lists Fuse Energy Supply Limited as a mandatory 2026/27 SEG licensee. Fuse publishes SEG explainers, but Here4Solar did not locate a public official tariff rate in those pages on the checked date, so no secondary-source rate is inserted."
official_site_checked_public_rate_not_located,Outfox Energy,Foxglove Energy Supply Limited,mandatory,Public rate not located on official site,,not publicly verified,not_stated,not_stated,not_stated,not stated with a public rate,2026-07-10,https://www.outfoxthemarket.co.uk/,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,"Ofgem lists Foxglove Energy Supply Limited as a mandatory 2026/27 SEG licensee. Here4Solar did not locate a public SEG rate or application page on the official Outfox site on the checked date, so no secondary-source rate is inserted."
official_site_checked_public_rate_not_located,Pozitive Energy,Pozitive Energy Ltd,voluntary,Public rate not currently located,,not publicly verified,not_stated,not_stated,not_stated,not stated with a current public rate,2026-07-10,https://pozitive.energy/,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,"Ofgem lists Pozitive Energy Ltd as a voluntary 2026/27 SEG licensee. The supplier's former public SEG page returned HTTP 404 during the correction check, and no replacement public rate or application page was located. A cached 5p/kWh statement is not treated as a current verified offer."
official_site_checked_public_rate_not_located,SmartPay Energy,Smart Pay Energy Ltd,voluntary,Public rate not located on official site,,not publicly verified,not_stated,not_stated,not_stated,not stated with a public rate,2026-07-10,https://www.smartpay.energy/,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,Ofgem lists Smart Pay Energy Ltd as a voluntary 2026/27 SEG licensee. Here4Solar did not locate a public SEG tariff or rate on the official site on the checked date.
